ID,Indicateur,Indicateurs_Onglet,Ordre,Type de graphique,Indicateurs_Sous-onglet,Sous-niveau (graphique),Contact source/DG,Sources,Lien données source,Lien site source,Description,Unité,Périmètre,2017,label_2017,2018,label_2018,2019,label_2019,2020,label_2020,2021,label_2021,2022,label_2022,2023,label_2023,2024,label_2024,2025,label_2025,2026,label_2026,2027,label_2027,2028,label_2028,2029,label_2029,2030,label_2030,Source de la cible,Dernière mise à jour,Etat source,Statut recette,MAJ mesuré,Tags objectifs environnementaux,Responsable SGPE,Calcul effectué,Lien cible 2030,Mode de calcul de la cible,MAJ mesuré - commentaires,MAJ cible,MAJ cible - commentaires,Anomalie rencontrée,Arbitrage proposé,Nature arbitrage,Ambition liée,Chantier ou Impact,Levier,ID opendata,2015,2012,Rythme annuel sur trois ans,Présence dans le référentiel,ordre_global,MAJ en PROD,Rythme annuel sur un an,Rythme annuel requis d'ici 2030,IRPE associé,IRPE valide,IRPE ids
f390eca3-285d-4b9f-b59f-0ab3d7752590,Surfaces forestières renouvelées par les financements publics et adaptées au changement climatique,Ecosystèmes,12,Barres simple,Forêts,,,"Source PPG, données MASA",https://pilote.modernisation.gouv.fr/chantier/CH-017,,"Le renouvellement forestier est essentiel pour adapter notre forêt au changement climatique tout en renforçant sa capacité d'absorption de carbone. L'indicateur représente la surface forestière renouvelée (en cumul depuis 2021) en s'appuyant sur des financements publics.
",Milliers d'hectares,Hexagone et outre-mer,,,,,,,,,20,mesuré,"26,1",mesuré,79,mesuré,134,cible,232,cible,372,cible,"593,3333333333",projection,"814,6666666667",projection,1036,projection,"1257,3333333333",cible,10% de la surface métropole en 2032,2024-08-02 3:19pm,Lien seulement,true,Ajout de nouvelles données,"Atténuation, Adaptation",Cédric Le Mouel,,,10% de la surface métropole en 2032,projection à mettre à jour ?,Cible OK,,Données non trouvées,Essayer de trouver une source plus pérenne,Changer la source,,Préserver / Redonner à la forêt sa capacité de stockage de carbone,Autres indicateurs,,,,,false,166,2025-12-18 17:14:00+01:00,52.9,168.3333,,false,
774c2323-3c1e-4eb4-8312-1d695594d28b,Volume de bois récolté,Ecosystèmes,13,Barres simple,Forêts,,,IGN,,https://foret.ign.fr/IGD/fr/indicateurs/,"Les prélèvements de bois dans les forêts exploitables permettent d'alimenter l'industrie du bois (pour la construction, l'ameublement, l'énergie, etc.) sans avoir recours à des importations, et sont encadrés . L'indicateur représente le volume total de bois récolté dans l'année, hors pertes d'exploitation.",Millions de mètres cubes,Hexagone,"51,7",mesuré,"54,8",mesuré,"54,5",mesuré,"52,3",mesuré,"55,4",mesuré,57,cible,"58,5",cible,60,cible,"61,5",cible,"61,8",cible,"62,1",cible,"62,4",cible,"62,7",cible,63,cible,SNBC 3 (provisoire),2024-08-02 3:19pm,Lien seulement,false,Anomalie détectée,"Atténuation, Ressources",Cédric Le Mouel,,,Run2 SNBC,,,,"Données non trouvées avec la même granularité (voir https://foret.ign.fr/IGD/fr/indicateurs/3.2) cédric : je ne trouve que des moyennes sur plusieurs périodes (https://foret.ign.fr/IGD/fr/indicateurs/3.1 ; https://inventaire-forestier.ign.fr/IMG/pdf/flux2019.pdf ), ou alors des volumes de bois récoltés et commercialisés (agreste : https://observatoire.foret.gouv.fr/api-obs/upload/Theme2_agreste_bois_sciages_2023.pdf)","Concaténer agreste + estimation de consommation de bois de chauffage du SDES (mais en TWh, donc retrouver le facteur de conversion) ?
agreste non dispo
Remplacer par volume de bois commercialisé (en distinguant énergie, bois d'oeuvre et bois d'industrie)",,,Préserver / Redonner à la forêt sa capacité de stockage de carbone,Développement des produits bois,,,,,false,167,2024-08-02 15:19:00+02:00,3.1,0.8444,,false,
4f126278-0ed8-4cfb-acae-9c1730cf31d7, Taux d'échec des plantations,Ecosystèmes,14,Barres simple,Forêts,,,Observatoire des forêts françaises (de DSF),https://observatoire.foret.gouv.fr/themes/la-reussite-des-plantations,https://foret.ign.fr/themes/la-sante-des-forets-se-degrade,"Si différents facteurs peuvent contribuer à la mortalité des plants lors de leur première année de vie en forêt, l'évolution de cette mortalité est un signe de l'état sanitaire des forêts et de leur adaptation aux conditions notamment climatiques qui sont les leurs. L'indicateur représente la part des plants observés n'ayant pas survécu à leur première année.
",Pourcents,Hexagone,12,mesuré,13,mesuré,14,mesuré,15,mesuré,7,mesuré,18,mesuré,12,mesuré,7,mesuré,,,,,,,,,,,,,,2024-08-02 3:19pm,Lien seulement,true,Anomalie détectée,"Atténuation, Adaptation",Cédric Le Mouel,,,non,,,,"Les données disponibles pour 2024 ne sont pas cohérentes avec les données précédentes : https://agriculture.gouv.fr/plantations-de-lannee-bilan-2024#:~:text=15%20%25%20de%20plantations%20affichent%20un,de%20la%20p%C3%A9riode%202007%2D2023.
maj avec données 2024 suite à un échange avec l’auteur des données ",,,,Préserver / Redonner à la forêt sa capacité de stockage de carbone,Autres indicateurs,,,,,false,168,2025-12-18 17:14:00+01:00,-5,,,false,
dac6899d-a610-43d5-acf0-7a8f665c294e,Volume annuel à l'hectare de nouveaux arbres morts,Ecosystèmes,15,Barres simple,Forêts,,,Observatoire des forêts françaises (de IGN),https://observatoire.foret.gouv.fr/themes/une-hausse-recente-des-arbres-morts-sur-pied,https://observatoire.foret.gouv.fr/themes/une-hausse-recente-des-arbres-morts-sur-pied,"L'accroissement de la mortalité forestière, pour des causes diverses (bioagresseurs, sécheresse...) et souvent complexes, est un motif d'inquiétude. L'indicateur représente l'évolution annuelle du volume d'arbres morts sur pied depuis moins de 5 ans, excluant donc les arbres morts coupés dans le cadre de coupes sanitaires par ailleurs). ",Mètres cubes  par hectare,Hexagone,"0,59",mesuré,"0,62",mesuré,"0,71",mesuré,"0,87",mesuré,"0,98",mesuré,"1,02",mesuré,"1,2",mesuré,,,,,,,,,,,,,,,,2024-08-02 3:19pm,Lien seulement,false,"Ajout de nouvelles données, Mise à jour rétrospective","Atténuation, Adaptation",Cédric Le Mouel,"Données affichées dans ""Transcription""",,,Ajout 2023 et ajustement des données passées,,Cible SNBC à étudier,,,,,Préserver / Redonner à la forêt sa capacité de stockage de carbone,Gestion durable des forêts,,,,,true,169,2025-10-13 19:06:00+02:00,0.18,,,false,
1de0f229-9ec8-4606-ac24-0cb3e3985c8b,Déficit foliaire feuillus/résineux,Ecosystèmes,16,Courbes indépendantes,Forêts,Feuillus,,Indicateurs de gestion durable IGN,https://foret.ign.fr/IGD/fr/indicateurs/2.3,,"Le déficit foliaire est un indicateur de la santé des forêts, qui correspond à la part de la surface foliaire absente (en été) par rapport à un arbre de référence, et inclut donc les mortalités de branches, les manques de ramification, les consommations, les trouées, les diminutions de taille d’organes. L'indicateur représente l'évolution du déficit foliaire dépassé par le quart le plus dégradé des arbres observés (3e quartile), en distinguant feuillus et résineux.
",Pourcents,Hexagone,42,mesuré,"50,2",mesuré,"51,7",mesuré,"52,7",mesuré,"53,7",mesuré,"52,2",mesuré,,,,,,,,,,,,,,,,,,2024-08-01 9:37am,Lien seulement,true,Anomalie détectée,"Atténuation, Adaptation",Cédric Le Mouel,,,,"mis à jour avec l'ign, donc années 2023 en moins",,,"Données historiques non retrouvées, page de la source inexistante, graphique jusqu'à 2018.","cédric : Mettre à jour avec les données suivantes : https://foret.ign.fr/IGD/fr/indicateurs/2.3, changer d'indicateur pour ""part avec déficit modéré, et part avec un déficit sévère (données jusqu'à 2022)",Remplacer l'indicateur,,Préserver / Redonner à la forêt sa capacité de stockage de carbone,Autres indicateurs,,,,,false,170,2025-12-18 17:14:00+01:00,-1.5,,,false,
e0b33901-e568-4533-aa83-1025e84abde1,Déficit foliaire feuillus/résineux,Ecosystèmes,16,Courbes indépendantes,Forêts,Résineux,,Indicateurs de gestion durable IGN,https://foret.ign.fr/IGD/fr/indicateurs/2.3,,,Pourcents,Hexagone,"34,5",mesuré,"35,4",mesuré,37,mesuré,"37,9",mesuré,"38,2",mesuré,"42,4",mesuré,,,,,,,,,,,,,,,,,,2024-08-01 9:37am,Lien seulement,true,Anomalie détectée,"Atténuation, Adaptation",Cédric Le Mouel,,,,"mis à jour avec l'ign, donc années 2023 en moins",,,"Données historiques non retrouvées, page de la source inexistante, graphique jusqu'à 2018.","cédric : Mettre à jour avec les données suivantes : https://foret.ign.fr/IGD/fr/indicateurs/2.3, changer d'indicateur pour ""part avec déficit modéré, et part avec un déficit sévère (données jusqu'à 2022)",Remplacer l'indicateur,,Préserver / Redonner à la forêt sa capacité de stockage de carbone,Autres indicateurs,,,,,false,171,2025-12-18 17:14:00+01:00,4.2,,,false,
54598f98-c4a8-45eb-b7bb-70d7cb8d9fcf,ETP de la filière bois,Ecosystèmes,17,Barres simple,Forêts,,, Veille économie mutualisée de la FBF (VEM),https://vem-fb.fr/images/2025/synthese-vem-2024-190625.pdf,https://vem-fb.fr/index.php,"La filière forêt-bois est appelée à jouer un grand rôle dans la transition écologique, et son renforcement est souhaitable afin de permettre de gérer les forêts durablement et développer le rôle du bois notamment comme matériel de construction, sans devoir faire appel à des importations croissantes. L'indicateur représente les ETP directs de la filière bois française, hors commerce et services. 

",Nombre,Hexagone et outre-mer,379141,mesuré,392702,mesuré,394967,mesuré,393892,mesuré,415535,mesuré,417133,mesuré,418585,mesuré,,,,,,,,,,,,,,,,2024-08-02 3:19pm,Lien seulement,true,Ajout de nouvelles données,"Atténuation, Économie",Elise Behm,,,,Ajout 2023,,,"Correction de fautes de copie sur les données historique et correction de définition du périmètre de l'indicateur en colonne ""description""",,Arbitrer sur le maintien des indicateurs économiques,,Préserver / Redonner à la forêt sa capacité de stockage de carbone,Autres indicateurs,,,,,false,172,2024-08-02 15:19:00+02:00,1452,,,false,
5e7b4e0c-032d-4fc5-9785-14c688218a2c,Surface brûlée,Ecosystèmes,18,Barres simple,Forêts,,,BDIFF,,https://bdiff.agriculture.gouv.fr/incendies,"Outre leurs conséquences humaines, économiques et sociales, les feux de forêt dégradent fortement le stockage de carbone, la biodiversité forestière, et la qualité de l'air; et leur propagation est favorisée par la sécheresse et le réchauffement climatique. L'indicateur représente la surface incendiée dans l'année.
",Hectares,Hexagone,23174,mesuré,4036,mesuré,15190,mesuré,11226,mesuré,12853,mesuré,59021,mesuré,5441,mesuré,2766,mesuré,,,,,,,,,,,,,,2024-08-02 3:19pm,Lien seulement,true,"Ajout de nouvelles données, Anomalie détectée","Atténuation, Ressources, Santé, Biodiversité",Cédric Le Mouel,,,,"Ajout 2023 et 2024
Mis à jour avec les données actuelles (année-valeur correcte = 2017-23174, 2020-11226, 2021-12853, 2022-59021) - fait Cédric",Absence de cible,,,,,,Préserver / Redonner à la forêt sa capacité de stockage de carbone,Autres indicateurs,,,,,false,173,2025-10-13 19:06:00+02:00,-2675,,,false,
04ac89c5-4b3e-4da2-8293-eadca6d612b3,Surface de forêt couverte par des documents de gestion durable approuvés ,Ecosystèmes,19,Barres simple,Forêts,,,IGN (IGD 3.5),https://foret.ign.fr/IGD/fr/indicateurs/3.5,https://foret.ign.fr/IGD/fr/indicateurs/,"Les documents de gestion durable constituent le cadre défini par la loi permettant de garantir la gestion durable des forêts, sous réserve de la mise en oeuvre effective du programme de coupes et travaux qui y est inscrit. L'indicateur recense les surfaces forestières dotées d'un document de gestion (qu'il soit obligatoire ou volontaire) approuvé par le Centre national de la propriété forestière (forêts privées) ou l'ONF (forêts publiques).",Millions d'hectares,Hexagone,,,"7,64",mesuré,"7,71",mesuré,"7,76",mesuré,"7,81",mesuré,"7,85",mesuré,,,,,,,,,,,,,,,"8,71",cible,Stratégie nationale biodiversité 2030,2024-08-02 3:19pm,Lien seulement,false,Anomalie détectée,"Adaptation, Atténuation, Biodiversité",Cédric Le Mouel,,,"1 Mha en +?
60 % en 2030 (SNB)",,,,Données historiques non trouvées,Mettre à jour avec les données suivantes : https://foret.ign.fr/IGD/fr/indicateurs/3.5,,,Préserver / Redonner à la forêt sa capacité de stockage de carbone,Gestion durable des forêts,,,,,false,174,2024-08-02 15:19:00+02:00,0.04,0.1075,Richesse en espèce forestière : Superficie selon le nombre d'espèces d'arbres par placette d'inventaire,false,837
77eff1c4-9f5e-4848-bf6c-3c05e03ffc72,Part de marché de la construction bois dans le neuf,Ecosystèmes,20,Courbes indépendantes,Produit bois,Logement ,,FIBOIS,https://franceboisforet.fr/wp-content/uploads/2025/06/ENQUETE_CONSTRUCTIONBOIS_2025_ACTIVITES2024_Page.pdf,https://franceboisforet.fr/2025/06/03/enquete-nationale-sur-la-construction-bois-2025/,"L'usage de bois dans la construction permet de réduire le besoin de matériaux dont la production est très émettrice de GES, et de stocker au contraire sur une longue durée du carbone. L'indicateur représente la part de marché pour la construction neuve en bois des logements (en nombre d'opérations) et des bâtiments du tertiaire (en surfaces réalisées).
",Pourcents,Hexagone,,,"6,3",mesuré,,,"6,5",mesuré,,,"6,2",mesuré,,,"6,6",mesuré,,,,,,,,,,,,,,2024-08-09 11:46am,Fichier et lien,false,Ajout de nouvelles données,Atténuation,Joseph Hajjar,,,,Ajout donnée 2024,,,,,,,Se loger / Généraliser les pratiques durables de construction et rénovation,Développement de l'usage de matériaux biosourcés dans la construction et rénovation,,,,,true,175,2024-08-09 11:46:15+02:00,0.2,,,false,
