Nom complet,Nom court
Atténuation du changement climatique,Atténuation
Adaptation au changement climatique,Adaptation
Utilisation durable et protection des ressources aquatiques et maritimes,Eau
Transition vers une économie circulaire,Economie circulaire
Prévention et le contrôle de la pollution,Pollution
Protection et restauration de la biodiversité et des écosystèmes,Biodiversité
